"Date Time, GMT+00:00","Abs Pres, kPa"
15/07/19 12:33:26,102.916
15/07/19 12:33:28,102.736
15/07/19 12:33:30,102.712
15/07/19 12:33:32,102.976
15/07/19 12:33:34,102.628
15/07/19 12:33:36,102.676
15/07/19 12:33:38,103.012
15/07/19 12:33:40,102.76
15/07/19 12:33:42,102.592
15/07/19 12:33:44,102.976
15/07/19 12:33:46,102.916
15/07/19 12:33:48,102.555
15/07/19 12:33:50,102.808
15/07/19 12:33:52,103.048
15/07/19 12:33:54,102.7
15/07/19 12:33:56,102.555
15/07/19 12:33:58,102.988
15/07/19 12:34:00,102.808
15/07/19 12:34:02,102.604
15/07/19 12:34:04,102.868
15/07/19 12:34:06,102.88
15/07/19 12:34:08,102.772
15/07/19 12:34:10,102.724
15/07/19 12:34:12,102.76
15/07/19 12:34:14,102.964
15/07/19 12:34:16,102.7
15/07/19 12:34:18,102.748
15/07/19 12:34:20,102.952
15/07/19 12:34:22,102.64
15/07/19 12:34:24,102.892
15/07/19 12:34:26,102.844
15/07/19 12:34:28,102.604
15/07/19 12:34:30,102.94
15/07/19 12:34:32,102.88
15/07/19 12:34:34,102.652
15/07/19 12:34:36,102.892
15/07/19 12:34:38,102.832
15/07/19 12:34:40,102.784
15/07/19 12:34:42,102.808
15/07/19 12:34:44,102.676
15/07/19 12:34:46,102.952
15/07/19 12:34:48,102.808
15/07/19 12:34:50,102.652
15/07/19 12:34:52,102.904
15/07/19 12:34:54,102.832
15/07/19 12:34:56,102.748
15/07/19 12:34:58,102.844
15/07/19 12:35:00,102.844
15/07/19 12:35:02,102.748
15/07/19 12:35:04,102.82
15/07/19 12:35:06,102.796
15/07/19 12:35:08,102.928
15/07/19 12:35:10,102.736
15/07/19 12:35:12,102.712
15/07/19 12:35:14,102.94
15/07/19 12:35:16,102.76
15/07/19 12:35:18,102.88
15/07/19 12:35:20,102.784
15/07/19 12:35:22,102.844
15/07/19 12:35:24,102.808
15/07/19 12:35:26,102.688
15/07/19 12:35:28,102.916
15/07/19 12:35:30,102.94
15/07/19 12:35:32,102.772
15/07/19 12:35:34,102.688
15/07/19 12:35:36,102.916
15/07/19 12:35:38,102.904
15/07/19 12:35:40,102.7
15/07/19 12:35:42,102.892
15/07/19 12:35:44,102.88
15/07/19 12:35:46,102.832
15/07/19 12:35:48,102.856
15/07/19 12:35:50,102.7
15/07/19 12:35:52,102.892
15/07/19 12:35:54,103.036
15/07/19 12:35:56,102.712
15/07/19 12:35:58,102.664
15/07/19 12:36:00,103.096
15/07/19 12:36:02,102.808
15/07/19 12:36:04,102.712
15/07/19 12:36:06,103.084
15/07/19 12:36:08,102.712
15/07/19 12:36:10,102.88
15/07/19 12:36:12,102.916
15/07/19 12:36:14,102.676
15/07/19 12:36:16,103.108
15/07/19 12:36:18,102.832
15/07/19 12:36:20,102.748
15/07/19 12:36:22,102.904
15/07/19 12:36:24,102.832
15/07/19 12:36:26,102.952
15/07/19 12:36:28,102.688
15/07/19 12:36:30,102.94
15/07/19 12:36:32,103.024
15/07/19 12:36:34,102.664
15/07/19 12:36:36,102.784
15/07/19 12:36:38,103
15/07/19 12:36:40,102.928
15/07/19 12:36:42,102.832
15/07/19 12:36:44,102.784
15/07/19 12:36:46,102.892
15/07/19 12:36:48,102.976
15/07/19 12:36:50,102.64
15/07/19 12:36:52,102.832
15/07/19 12:36:54,103.156
15/07/19 12:36:56,102.712
15/07/19 12:36:58,102.82
15/07/19 12:37:00,103
15/07/19 12:37:02,102.748
15/07/19 12:37:04,102.916
15/07/19 12:37:06,102.904
15/07/19 12:37:08,102.82
15/07/19 12:37:10,102.916
15/07/19 12:37:12,102.964
15/07/19 12:37:14,102.784
15/07/19 12:37:16,102.892
15/07/19 12:37:18,103.012
15/07/19 12:37:20,102.772
15/07/19 12:37:22,102.916
15/07/19 12:37:24,102.844
15/07/19 12:37:26,102.904
15/07/19 12:37:28,102.94
15/07/19 12:37:30,102.928
15/07/19 12:37:32,102.844
15/07/19 12:37:34,102.904
15/07/19 12:37:36,103.048
15/07/19 12:37:38,102.652
15/07/19 12:37:40,102.928
15/07/19 12:37:42,103.108
15/07/19 12:37:44,102.652
15/07/19 12:37:46,102.964
15/07/19 12:37:48,102.988
15/07/19 12:37:50,102.916
15/07/19 12:37:52,102.844
15/07/19 12:37:54,102.916
15/07/19 12:37:56,103.036
15/07/19 12:37:58,102.796
15/07/19 12:38:00,102.808
15/07/19 12:38:02,102.988
15/07/19 12:38:04,103.036
15/07/19 12:38:06,102.892
15/07/19 12:38:08,102.856
15/07/19 12:38:10,102.952
15/07/19 12:38:12,102.988
15/07/19 12:38:14,102.796
15/07/19 12:38:16,102.832
15/07/19 12:38:18,103.132
15/07/19 12:38:20,102.952
15/07/19 12:38:22,102.772
15/07/19 12:38:24,102.94
15/07/19 12:38:26,103.108
15/07/19 12:38:28,102.844
15/07/19 12:38:30,102.748
15/07/19 12:38:32,103.108
15/07/19 12:38:34,102.892
15/07/19 12:38:36,102.772
15/07/19 12:38:38,103.12
15/07/19 12:38:40,102.904
15/07/19 12:38:42,102.928
15/07/19 12:38:44,103.048
15/07/19 12:38:46,102.82
15/07/19 12:38:48,102.868
15/07/19 12:38:50,103.024
15/07/19 12:38:52,102.94
