"Date Time GMT+00:00","Abs Pres kPa"
15/07/10 17:28:08,103.468
15/07/10 17:28:10,103.588
15/07/10 17:28:12,103.66
15/07/10 17:28:14,103.612
15/07/10 17:28:16,103.6
15/07/10 17:28:18,103.636
15/07/10 17:28:20,103.588
15/07/10 17:28:22,103.48
15/07/10 17:28:24,103.468
15/07/10 17:28:26,103.528
15/07/10 17:28:28,103.648
15/07/10 17:28:30,103.768
15/07/10 17:28:32,103.684
15/07/10 17:28:34,103.504
15/07/10 17:28:36,103.492
15/07/10 17:28:38,103.576
15/07/10 17:28:40,103.564
15/07/10 17:28:42,103.528
15/07/10 17:28:44,103.6
15/07/10 17:28:46,103.684
15/07/10 17:28:48,103.684
15/07/10 17:28:50,103.612
15/07/10 17:28:52,103.564
